symbol,yf_ticker,company,sector
M-STOR,M-STOR.BK,MFC-STRATEGIC STORAGE FUND,Property Fund & REITs
MADAME,MADAME.BK,MADAME BIOSCIENCE PUBLIC COMPANY LIMITED,Food & Beverage
MAGURO,MAGURO.BK,Maguro Group Public Company Limited,-
MAJOR,MAJOR.BK,MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED,Media & Publishing
MALEE,MALEE.BK,MALEE GROUP PUBLIC COMPANY LIMITED,Food & Beverage
MANRIN,MANRIN.BK,THE MANDARIN HOTEL PUBLIC COMPANY LIMITED,Tourism & Leisure
MASTEC,MASTEC.BK,Masstec Link Public Company Limited,Industrial Materials & Machinery
MASTER,MASTER.BK,Master Style Public Company Limited,Health Care Services
MATCH,MATCH.BK,MATCHING MAXIMIZE SOLUTION PUBLIC COMPANY LIMITED,Media & Publishing
MATI,MATI.BK,MATICHON PUBLIC COMPANY LIMITED,Media & Publishing
MBAX,MBAX.BK,MULTIBAX PUBLIC COMPANY LIMITED,-
MBK,MBK.BK,MBK PUBLIC COMPANY LIMITED,Property Development
MC,MC.BK,MC GROUP PUBLIC COMPANY LIMITED,Commerce
MCA,MCA.BK,Market Connections Asia Public Company Limited,-
MCOT,MCOT.BK,MCOT PUBLIC COMPANY LIMITED,Media & Publishing
MCS,MCS.BK,M.C.S.STEEL PUBLIC COMPANY LIMITED,Steel and Metal Products
MDX,MDX.BK,M.D.X. PUBLIC COMPANY LIMITED,Energy & Utilities
MEB,MEB.BK,MEB Corporation Public Company Limited,-
MEDEZE,MEDEZE.BK,Medeze Group Public Company Limited,Health Care Services
MEGA,MEGA.BK,MEGA LIFESCIENCES PUBLIC COMPANY LIMITED,Commerce
MENA,MENA.BK,MENA TRANSPORT PUBLIC COMPANY LIMITED,Transportation & Logistics
META,META.BK,META CORPORATION PUBLIC COMPANY LIMITED,-
METCO,METCO.BK,MURAMOTO ELECTRON (THAILAND) PUBLIC COMPANY LIMITED,Electronic Components
MFC,MFC.BK,MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED,Finance & Securities
MFEC,MFEC.BK,MFEC PUBLIC COMPANY LIMITED,Information & Communication Technology
MGC,MGC.BK,Millennium Group Corporation (Asia) Public Company Limited,Automotive
MGI,MGI.BK,Miss Grand International Public Company Limited,-
MGT,MGT.BK,MEGACHEM (THAILAND) PUBLIC COMPANY LIMITED,-
MICRO,MICRO.BK,MICRO LEASING PUBLIC COMPANY LIMITED,Finance & Securities
MIDA,MIDA.BK,MIDA ASSETS PUBLIC COMPANY LIMITED,Commerce
MII,MII.BK,MFC Industrial Investment Freehold and Leasehold Real Estate Investment Trust,Property Fund & REITs
MILL,MILL.BK,MILLCON STEEL PUBLIC COMPANY LIMITED,Steel and Metal Products
