symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
XO,XO.BK,EXOTIC FOOD PUBLIC COMPANY LIMITED,-,19.8,True,7,90.0,False,24.17,20.91,5.58,
CREDIT,CREDIT.BK,THAI CREDIT BANK PUBLIC COMPANY LIMITED,Banking,23.4,True,7,86.0,False,23.75,26.0,11.11,
MICRO,MICRO.BK,MICRO LEASING PUBLIC COMPANY LIMITED,Finance & Securities,1.53,True,7,94.0,False,21.25,1.65,7.84,
CRC,CRC.BK,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,Commerce,27.75,True,7,89.0,False,21.25,29.25,5.41,
TTB,TTB.BK,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,Banking,2.92,True,7,89.0,False,21.25,3.16,8.22,
SPACK,SPACK.BK,S. PACK & PRINT PUBLIC COMPANY LIMITED,Packaging,1.67,True,7,88.0,False,21.25,1.85,10.78,
KSL,KSL.BK,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED,Food & Beverage,1.86,True,7,87.0,False,21.25,1.98,6.45,
CFARM,CFARM.BK,CHUWIT FARM (2019) PUBLIC COMPANY LIMITED,-,0.94,True,7,71.0,False,21.25,1.0,6.38,
LOXLEY,LOXLEY.BK,LOXLEY PUBLIC COMPANY LIMITED,Commerce,1.74,True,7,71.0,False,21.25,1.86,6.9,
PORT,PORT.BK,SAHATHAI TERMINAL PUBLIC COMPANY LIMITED,Transportation & Logistics,0.8,True,7,85.0,False,21.0,0.89,11.25,
TPRIME,TPRIME.BK,THAILAND PRIME PROPERTY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs,8.2,True,7,72.0,False,20.0,8.5,3.66,
NUT,NUT.BK,NUTRITION PROFESS PUBLIC COMPANY LIMITED,-,4.82,True,7,77.0,False,18.33,5.28,9.5,
SINGER,SINGER.BK,SINGER THAILAND PUBLIC COMPANY LIMITED,Commerce,11.6,True,7,97.0,False,17.75,13.1,12.93,
NDR,NDR.BK,N.D. RUBBER PUBLIC COMPANY LIMITED,-,1.86,True,7,79.0,False,12.0,2.14,15.05,
TEAM,TEAM.BK,TEAM PRECISION PUBLIC COMPANY LIMITED,Electronic Components,5.5,True,7,97.0,False,11.67,6.17,12.18,
TSE,TSE.BK,THAI SOLAR ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities,0.82,True,7,91.0,False,11.67,0.87,6.1,
IT,IT.BK,IT CITY PUBLIC COMPANY LIMITED,Commerce,7.35,True,7,96.0,False,8.75,8.17,11.21,
UBIS,UBIS.BK,UBIS (ASIA) PUBLIC COMPANY LIMITED,-,1.48,True,7,83.0,False,8.75,1.67,12.84,
